CM,tau
0.16,0.162097449
0.1601,0.162206157
0.1602,0.162314892
0.1603,0.162423653
0.1604,0.162532442
0.1605,0.162641256
0.1606,0.162750098
0.1607,0.162858967
0.1608,0.162967862
0.1609,0.163076785
0.161,0.163185735
0.1611,0.163294711
0.1612,0.163403715
0.1613,0.163512746
0.1614,0.163621805
0.1615,0.16373089
0.1616,0.163840003
0.1617,0.163949144
0.1618,0.164058311
0.1619,0.164167507
0.162,0.16427673
0.1621,0.16438598
0.1622,0.164495258
0.1623,0.164604564
0.1624,0.164713898
0.1625,0.164823259
0.1626,0.164932648
0.1627,0.165042066
0.1628,0.165151511
0.1629,0.165260984
0.163,0.165370485
0.1631,0.165480015
0.1632,0.165589572
0.1633,0.165699158
0.1634,0.165808772
0.1635,0.165918415
0.1636,0.166028085
0.1637,0.166137785
0.1638,0.166247513
0.1639,0.166357269
0.164,0.166467054
0.1641,0.166576867
0.1642,0.16668671
0.1643,0.166796581
0.1644,0.16690648
0.1645,0.167016409
0.1646,0.167126367
0.1647,0.167236353
0.1648,0.167346369
0.1649,0.167456413
0.165,0.167566487
0.1651,0.16767659
0.1652,0.167786722
0.1653,0.167896884
0.1654,0.168007074
0.1655,0.168117294
0.1656,0.168227544
0.1657,0.168337823
0.1658,0.168448132
0.1659,0.16855847
0.166,0.168668838
0.1661,0.168779235
0.1662,0.168889663
0.1663,0.16900012
0.1664,0.169110607
0.1665,0.169221124
0.1666,0.169331671
0.1667,0.169442248
0.1668,0.169552855
0.1669,0.169663492
0.167,0.169774159
0.1671,0.169884857
0.1672,0.169995585
0.1673,0.170106343
0.1674,0.170217131
0.1675,0.17032795
0.1676,0.1704388
0.1677,0.17054968
0.1678,0.170660591
0.1679,0.170771532
0.168,0.170882504
0.1681,0.170993507
0.1682,0.171104541
0.1683,0.171215606
0.1684,0.171326701
0.1685,0.171437828
0.1686,0.171548985
0.1687,0.171660174
0.1688,0.171771394
0.1689,0.171882645
0.169,0.171993927
0.1691,0.172105241
0.1692,0.172216586
0.1693,0.172327962
0.1694,0.17243937
0.1695,0.17255081
0.1696,0.172662281
0.1697,0.172773783
0.1698,0.172885318
0.1699,0.172996884
0.17,0.173108482
0.1701,0.173220112
0.1702,0.173331774
0.1703,0.173443467
0.1704,0.173555193
0.1705,0.173666951
0.1706,0.173778741
0.1707,0.173890563
0.1708,0.174002417
0.1709,0.174114304
0.171,0.174226223
0.1711,0.174338175
0.1712,0.174450159
0.1713,0.174562175
0.1714,0.174674224
0.1715,0.174786306
0.1716,0.174898421
0.1717,0.175010568
0.1718,0.175122748
0.1719,0.175234961
0.172,0.175347206
0.1721,0.175459485
0.1722,0.175571797
0.1723,0.175684142
0.1724,0.17579652
0.1725,0.175908931
0.1726,0.176021375
0.1727,0.176133853
0.1728,0.176246364
0.1729,0.176358909
0.173,0.176471487
0.1731,0.176584098
0.1732,0.176696743
0.1733,0.176809422
0.1734,0.176922135
0.1735,0.177034881
0.1736,0.177147661
0.1737,0.177260475
0.1738,0.177373322
0.1739,0.177486204
0.174,0.17759912
0.1741,0.17771207
0.1742,0.177825054
0.1743,0.177938072
0.1744,0.178051125
0.1745,0.178164212
0.1746,0.178277333
0.1747,0.178390489
0.1748,0.178503679
0.1749,0.178616904
0.175,0.178730163
0.1751,0.178843457
0.1752,0.178956786
0.1753,0.17907015
0.1754,0.179183548
0.1755,0.179296981
0.1756,0.179410449
0.1757,0.179523953
0.1758,0.179637491
0.1759,0.179751064
0.176,0.179864673
0.1761,0.179978317
0.1762,0.180091996
0.1763,0.18020571
0.1764,0.18031946
0.1765,0.180433246
0.1766,0.180547066
0.1767,0.180660923
0.1768,0.180774815
0.1769,0.180888743
0.177,0.181002706
0.1771,0.181116706
0.1772,0.181230741
0.1773,0.181344812
0.1774,0.181458919
0.1775,0.181573063
0.1776,0.181687242
0.1777,0.181801457
0.1778,0.181915709
0.1779,0.182029997
0.178,0.182144322
0.1781,0.182258682
0.1782,0.18237308
0.1783,0.182487513
0.1784,0.182601984
0.1785,0.18271649
0.1786,0.182831034
0.1787,0.182945615
0.1788,0.183060232
0.1789,0.183174886
0.179,0.183289577
0.1791,0.183404305
0.1792,0.18351907
0.1793,0.183633872
0.1794,0.183748711
0.1795,0.183863588
0.1796,0.183978501
0.1797,0.184093453
0.1798,0.184208441
0.1799,0.184323467
0.18,0.184438531
0.1801,0.184553632
0.1802,0.184668771
0.1803,0.184783947
0.1804,0.184899161
0.1805,0.185014413
0.1806,0.185129703
0.1807,0.185245031
0.1808,0.185360397
0.1809,0.185475801
0.181,0.185591243
0.1811,0.185706723
0.1812,0.185822241
0.1813,0.185937798
0.1814,0.186053393
0.1815,0.186169027
0.1816,0.186284699
0.1817,0.186400409
0.1818,0.186516158
0.1819,0.186631946
0.182,0.186747773
0.1821,0.186863638
0.1822,0.186979542
0.1823,0.187095485
0.1824,0.187211467
0.1825,0.187327488
0.1826,0.187443548
0.1827,0.187559648
0.1828,0.187675786
0.1829,0.187791964
0.183,0.187908181
0.1831,0.188024437
0.1832,0.188140733
0.1833,0.188257069
0.1834,0.188373444
0.1835,0.188489858
0.1836,0.188606313
0.1837,0.188722807
0.1838,0.188839341
0.1839,0.188955914
0.184,0.189072528
0.1841,0.189189182
0.1842,0.189305876
0.1843,0.189422609
0.1844,0.189539384
0.1845,0.189656198
0.1846,0.189773053
0.1847,0.189889948
0.1848,0.190006883
0.1849,0.190123859
0.185,0.190240876
0.1851,0.190357933
0.1852,0.190475031
0.1853,0.190592169
0.1854,0.190709349
0.1855,0.190826569
0.1856,0.19094383
0.1857,0.191061132
0.1858,0.191178475
0.1859,0.19129586
0.186,0.191413285
0.1861,0.191530752
0.1862,0.19164826
0.1863,0.19176581
0.1864,0.191883401
0.1865,0.192001033
0.1866,0.192118707
0.1867,0.192236423
0.1868,0.19235418
0.1869,0.192471979
0.187,0.19258982
0.1871,0.192707703
0.1872,0.192825627
0.1873,0.192943594
0.1874,0.193061603
0.1875,0.193179654
0.1876,0.193297747
0.1877,0.193415882
0.1878,0.19353406
0.1879,0.19365228
0.188,0.193770542
0.1881,0.193888847
0.1882,0.194007195
0.1883,0.194125585
0.1884,0.194244018
0.1885,0.194362494
0.1886,0.194481012
0.1887,0.194599574
0.1888,0.194718178
0.1889,0.194836826
0.189,0.194955516
0.1891,0.19507425
0.1892,0.195193027
0.1893,0.195311847
0.1894,0.19543071
0.1895,0.195549617
0.1896,0.195668568
0.1897,0.195787562
0.1898,0.195906599
0.1899,0.196025681
0.19,0.196144805
0.1901,0.196263974
0.1902,0.196383187
0.1903,0.196502443
0.1904,0.196621744
0.1905,0.196741089
0.1906,0.196860477
0.1907,0.19697991
0.1908,0.197099388
0.1909,0.197218909
0.191,0.197338475
0.1911,0.197458086
0.1912,0.19757774
0.1913,0.19769744
0.1914,0.197817184
0.1915,0.197936973
0.1916,0.198056807
0.1917,0.198176685
0.1918,0.198296609
0.1919,0.198416577
0.192,0.19853659
0.1921,0.198656649
0.1922,0.198776753
0.1923,0.198896902
0.1924,0.199017096
0.1925,0.199137336
0.1926,0.199257621
0.1927,0.199377952
0.1928,0.199498328
0.1929,0.19961875
0.193,0.199739217
0.1931,0.199859731
0.1932,0.19998029
0.1933,0.200100895
0.1934,0.200221546
0.1935,0.200342244
0.1936,0.200462987
0.1937,0.200583776
0.1938,0.200704612
0.1939,0.200825494
0.194,0.200946423
0.1941,0.201067398
0.1942,0.201188419
0.1943,0.201309487
0.1944,0.201430602
0.1945,0.201551763
0.1946,0.201672972
0.1947,0.201794227
0.1948,0.201915529
0.1949,0.202036878
0.195,0.202158274
0.1951,0.202279717
0.1952,0.202401207
0.1953,0.202522745
0.1954,0.20264433
0.1955,0.202765962
0.1956,0.202887642
0.1957,0.20300937
0.1958,0.203131145
0.1959,0.203252968
0.196,0.203374838
0.1961,0.203496756
0.1962,0.203618723
0.1963,0.203740737
0.1964,0.203862799
0.1965,0.203984909
0.1966,0.204107068
0.1967,0.204229274
0.1968,0.204351529
0.1969,0.204473833
0.197,0.204596184
0.1971,0.204718585
0.1972,0.204841034
0.1973,0.204963531
0.1974,0.205086077
0.1975,0.205208673
0.1976,0.205331316
0.1977,0.205454009
0.1978,0.205576751
0.1979,0.205699542
0.198,0.205822382
0.1981,0.205945271
0.1982,0.20606821
0.1983,0.206191198
0.1984,0.206314235
0.1985,0.206437322
0.1986,0.206560459
0.1987,0.206683645
0.1988,0.20680688
0.1989,0.206930166
0.199,0.207053501
0.1991,0.207176886
0.1992,0.207300322
0.1993,0.207423807
0.1994,0.207547343
0.1995,0.207670928
0.1996,0.207794564
0.1997,0.20791825
0.1998,0.208041987
0.1999,0.208165774
0.2,0.208289612
0.2001,0.2084135
0.2002,0.20853744
0.2003,0.208661429
0.2004,0.20878547
0.2005,0.208909562
0.2006,0.209033704
0.2007,0.209157898
0.2008,0.209282143
0.2009,0.209406439
0.201,0.209530786
0.2011,0.209655185
0.2012,0.209779635
0.2013,0.209904137
0.2014,0.21002869
0.2015,0.210153295
0.2016,0.210277951
0.2017,0.210402659
0.2018,0.21052742
0.2019,0.210652232
0.202,0.210777096
0.2021,0.210902012
0.2022,0.21102698
0.2023,0.211152001
0.2024,0.211277074
0.2025,0.211402199
0.2026,0.211527377
0.2027,0.211652607
0.2028,0.21177789
0.2029,0.211903225
0.203,0.212028613
0.2031,0.212154055
0.2032,0.212279548
0.2033,0.212405095
0.2034,0.212530695
0.2035,0.212656348
0.2036,0.212782055
0.2037,0.212907814
0.2038,0.213033627
0.2039,0.213159493
0.204,0.213285413
0.2041,0.213411386
0.2042,0.213537413
0.2043,0.213663494
0.2044,0.213789628
0.2045,0.213915817
0.2046,0.214042059
0.2047,0.214168355
0.2048,0.214294705
0.2049,0.21442111
0.205,0.214547569
0.2051,0.214674082
0.2052,0.214800649
0.2053,0.214927271
0.2054,0.215053948
0.2055,0.215180679
0.2056,0.215307464
0.2057,0.215434305
0.2058,0.2155612
0.2059,0.215688151
0.206,0.215815156
0.2061,0.215942216
0.2062,0.216069332
0.2063,0.216196502
0.2064,0.216323728
0.2065,0.21645101
0.2066,0.216578347
0.2067,0.216705739
0.2068,0.216833187
0.2069,0.216960691
0.207,0.21708825
0.2071,0.217215866
0.2072,0.217343537
0.2073,0.217471264
0.2074,0.217599047
0.2075,0.217726887
0.2076,0.217854782
0.2077,0.217982734
0.2078,0.218110743
0.2079,0.218238807
0.208,0.218366929
0.2081,0.218495107
0.2082,0.218623341
0.2083,0.218751633
0.2084,0.218879981
0.2085,0.219008386
0.2086,0.219136849
0.2087,0.219265368
0.2088,0.219393944
0.2089,0.219522578
0.209,0.219651269
0.2091,0.219780018
0.2092,0.219908824
0.2093,0.220037687
0.2094,0.220166608
0.2095,0.220295587
0.2096,0.220424624
0.2097,0.220553718
0.2098,0.220682871
0.2099,0.220812081
0.21,0.22094135
0.2101,0.221070677
0.2102,0.221200062
0.2103,0.221329505
0.2104,0.221459007
0.2105,0.221588567
0.2106,0.221718186
0.2107,0.221847864
0.2108,0.221977601
0.2109,0.222107396
0.211,0.22223725
0.2111,0.222367163
0.2112,0.222497135
0.2113,0.222627167
0.2114,0.222757258
0.2115,0.222887408
0.2116,0.223017617
0.2117,0.223147886
0.2118,0.223278214
0.2119,0.223408602
0.212,0.22353905
0.2121,0.223669558
0.2122,0.223800125
0.2123,0.223930753
0.2124,0.22406144
0.2125,0.224192188
0.2126,0.224322996
0.2127,0.224453864
0.2128,0.224584793
0.2129,0.224715782
0.213,0.224846831
0.2131,0.224977941
0.2132,0.225109112
0.2133,0.225240344
0.2134,0.225371637
0.2135,0.22550299
0.2136,0.225634405
0.2137,0.225765881
0.2138,0.225897418
0.2139,0.226029016
0.214,0.226160675
0.2141,0.226292397
0.2142,0.226424179
0.2143,0.226556023
0.2144,0.226687929
0.2145,0.226819897
0.2146,0.226951927
0.2147,0.227084018
0.2148,0.227216172
0.2149,0.227348388
0.215,0.227480666
0.2151,0.227613006
0.2152,0.227745409
0.2153,0.227877874
0.2154,0.228010402
0.2155,0.228142992
0.2156,0.228275645
0.2157,0.228408361
0.2158,0.22854114
0.2159,0.228673982
0.216,0.228806886
0.2161,0.228939854
0.2162,0.229072886
0.2163,0.22920598
0.2164,0.229339138
0.2165,0.229472359
0.2166,0.229605644
0.2167,0.229738993
0.2168,0.229872405
0.2169,0.230005882
0.217,0.230139422
0.2171,0.230273026
0.2172,0.230406694
0.2173,0.230540427
0.2174,0.230674224
0.2175,0.230808085
0.2176,0.23094201
0.2177,0.231076
0.2178,0.231210055
0.2179,0.231344174
0.218,0.231478359
0.2181,0.231612608
0.2182,0.231746922
0.2183,0.231881301
0.2184,0.232015745
0.2185,0.232150254
0.2186,0.232284829
0.2187,0.232419469
0.2188,0.232554175
0.2189,0.232688946
0.219,0.232823783
0.2191,0.232958686
0.2192,0.233093654
0.2193,0.233228689
0.2194,0.233363789
0.2195,0.233498956
0.2196,0.233634189
0.2197,0.233769488
0.2198,0.233904854
0.2199,0.234040285
0.22,0.234175784
0.2201,0.234311349
0.2202,0.234446981
0.2203,0.23458268
0.2204,0.234718446
0.2205,0.234854278
0.2206,0.234990178
0.2207,0.235126145
0.2208,0.235262179
0.2209,0.235398281
0.221,0.23553445
0.2211,0.235670687
0.2212,0.235806991
0.2213,0.235943363
0.2214,0.236079803
0.2215,0.23621631
0.2216,0.236352886
0.2217,0.23648953
0.2218,0.236626242
0.2219,0.236763022
0.222,0.236899871
0.2221,0.237036788
0.2222,0.237173774
0.2223,0.237310828
0.2224,0.237447952
0.2225,0.237585144
0.2226,0.237722404
0.2227,0.237859734
0.2228,0.237997133
0.2229,0.238134601
0.223,0.238272139
0.2231,0.238409746
0.2232,0.238547422
0.2233,0.238685168
0.2234,0.238822984
0.2235,0.238960869
0.2236,0.239098824
0.2237,0.23923685
0.2238,0.239374945
0.2239,0.23951311
0.224,0.239651346
0.2241,0.239789652
0.2242,0.239928028
0.2243,0.240066475
0.2244,0.240204992
0.2245,0.240343581
0.2246,0.24048224
0.2247,0.240620969
0.2248,0.24075977
0.2249,0.240898642
0.225,0.241037585
0.2251,0.2411766
0.2252,0.241315685
0.2253,0.241454843
0.2254,0.241594071
0.2255,0.241733372
0.2256,0.241872744
0.2257,0.242012188
0.2258,0.242151704
0.2259,0.242291292
0.226,0.242430952
0.2261,0.242570684
0.2262,0.242710489
0.2263,0.242850366
0.2264,0.242990316
0.2265,0.243130338
0.2266,0.243270433
0.2267,0.243410601
0.2268,0.243550841
0.2269,0.243691155
0.227,0.243831542
0.2271,0.243972002
0.2272,0.244112535
0.2273,0.244253142
0.2274,0.244393822
0.2275,0.244534576
0.2276,0.244675403
0.2277,0.244816304
0.2278,0.24495728
0.2279,0.245098329
0.228,0.245239452
0.2281,0.245380649
0.2282,0.245521921
0.2283,0.245663267
0.2284,0.245804688
0.2285,0.245946183
0.2286,0.246087753
0.2287,0.246229397
0.2288,0.246371117
0.2289,0.246512911
0.229,0.246654781
0.2291,0.246796726
0.2292,0.246938746
0.2293,0.247080841
0.2294,0.247223012
0.2295,0.247365258
0.2296,0.24750758
0.2297,0.247649978
0.2298,0.247792452
0.2299,0.247935002
0.23,0.248077628
0.2301,0.24822033
0.2302,0.248363109
0.2303,0.248505963
0.2304,0.248648895
0.2305,0.248791903
0.2306,0.248934987
0.2307,0.249078148
0.2308,0.249221387
0.2309,0.249364702
0.231,0.249508095
0.2311,0.249651564
0.2312,0.249795111
0.2313,0.249938736
0.2314,0.250082437
0.2315,0.250226217
0.2316,0.250370074
0.2317,0.250514009
0.2318,0.250658022
0.2319,0.250802113
0.232,0.250946283
0.2321,0.25109053
0.2322,0.251234856
0.2323,0.25137926
0.2324,0.251523743
0.2325,0.251668305
0.2326,0.251812945
0.2327,0.251957664
0.2328,0.252102462
0.2329,0.252247339
0.233,0.252392296
0.2331,0.252537332
0.2332,0.252682447
0.2333,0.252827641
0.2334,0.252972916
0.2335,0.25311827
0.2336,0.253263704
0.2337,0.253409217
0.2338,0.253554811
0.2339,0.253700485
0.234,0.253846239
0.2341,0.253992074
0.2342,0.254137989
0.2343,0.254283985
0.2344,0.254430061
0.2345,0.254576218
0.2346,0.254722456
0.2347,0.254868775
0.2348,0.255015175
0.2349,0.255161657
0.235,0.255308219
0.2351,0.255454864
0.2352,0.255601589
0.2353,0.255748397
0.2354,0.255895286
0.2355,0.256042257
0.2356,0.25618931
0.2357,0.256336445
0.2358,0.256483662
0.2359,0.256630962
0.236,0.256778344
0.2361,0.256925808
0.2362,0.257073356
0.2363,0.257220986
0.2364,0.257368698
0.2365,0.257516494
0.2366,0.257664373
0.2367,0.257812335
0.2368,0.257960381
0.2369,0.25810851
0.237,0.258256722
0.2371,0.258405018
0.2372,0.258553398
0.2373,0.258701861
0.2374,0.258850409
0.2375,0.258999041
0.2376,0.259147757
0.2377,0.259296557
0.2378,0.259445441
0.2379,0.259594411
0.238,0.259743464
0.2381,0.259892603
0.2382,0.260041827
0.2383,0.260191135
0.2384,0.260340529
0.2385,0.260490007
0.2386,0.260639572
0.2387,0.260789221
0.2388,0.260938956
0.2389,0.261088777
0.239,0.261238684
0.2391,0.261388676
0.2392,0.261538755
0.2393,0.261688919
0.2394,0.26183917
0.2395,0.261989508
0.2396,0.262139931
0.2397,0.262290442
0.2398,0.262441039
0.2399,0.262591723
0.24,0.262742494
0.2401,0.262893352
0.2402,0.263044297
0.2403,0.263195329
0.2404,0.263346449
0.2405,0.263497656
0.2406,0.263648951
0.2407,0.263800334
0.2408,0.263951804
0.2409,0.264103363
0.241,0.26425501
0.2411,0.264406745
0.2412,0.264558568
0.2413,0.26471048
0.2414,0.26486248
0.2415,0.265014569
0.2416,0.265166747
0.2417,0.265319014
0.2418,0.265471369
0.2419,0.265623814
0.242,0.265776349
0.2421,0.265928972
0.2422,0.266081686
0.2423,0.266234489
0.2424,0.266387381
0.2425,0.266540364
0.2426,0.266693437
0.2427,0.266846599
0.2428,0.266999852
0.2429,0.267153196
0.243,0.26730663
0.2431,0.267460154
0.2432,0.267613769
0.2433,0.267767475
0.2434,0.267921273
0.2435,0.268075161
0.2436,0.26822914
0.2437,0.268383211
0.2438,0.268537373
0.2439,0.268691627
0.244,0.268845973
0.2441,0.26900041
0.2442,0.26915494
0.2443,0.269309561
0.2444,0.269464275
0.2445,0.269619081
0.2446,0.269773979
0.2447,0.26992897
0.2448,0.270084054
0.2449,0.270239231
0.245,0.2703945
0.2451,0.270549863
0.2452,0.270705319
0.2453,0.270860868
0.2454,0.27101651
0.2455,0.271172247
0.2456,0.271328077
0.2457,0.271484
0.2458,0.271640018
0.2459,0.27179613
0.246,0.271952336
0.2461,0.272108636
0.2462,0.272265031
0.2463,0.27242152
0.2464,0.272578104
0.2465,0.272734783
0.2466,0.272891557
0.2467,0.273048426
0.2468,0.273205391
0.2469,0.27336245
0.247,0.273519605
0.2471,0.273676856
0.2472,0.273834202
0.2473,0.273991645
0.2474,0.274149183
0.2475,0.274306818
0.2476,0.274464548
0.2477,0.274622375
0.2478,0.274780299
0.2479,0.274938319
0.248,0.275096436
0.2481,0.27525465
0.2482,0.275412961
0.2483,0.275571369
0.2484,0.275729875
0.2485,0.275888477
0.2486,0.276047178
0.2487,0.276205976
0.2488,0.276364872
0.2489,0.276523866
0.249,0.276682958
0.2491,0.276842148
0.2492,0.277001436
0.2493,0.277160823
0.2494,0.277320309
0.2495,0.277479893
0.2496,0.277639577
0.2497,0.277799359
0.2498,0.27795924
0.2499,0.278119221
0.25,0.278279301
0.2501,0.278439481
0.2502,0.27859976
0.2503,0.27876014
0.2504,0.278920619
0.2505,0.279081198
0.2506,0.279241877
0.2507,0.279402657
0.2508,0.279563537
0.2509,0.279724518
0.251,0.2798856
0.2511,0.280046783
0.2512,0.280208066
0.2513,0.280369451
0.2514,0.280530937
0.2515,0.280692525
0.2516,0.280854214
0.2517,0.281016005
0.2518,0.281177898
0.2519,0.281339892
0.252,0.281501989
0.2521,0.281664188
0.2522,0.28182649
0.2523,0.281988894
0.2524,0.282151401
0.2525,0.282314011
0.2526,0.282476723
0.2527,0.282639539
0.2528,0.282802458
0.2529,0.28296548
0.253,0.283128606
0.2531,0.283291836
0.2532,0.283455169
0.2533,0.283618606
0.2534,0.283782148
0.2535,0.283945793
0.2536,0.284109543
0.2537,0.284273398
0.2538,0.284437357
0.2539,0.284601421
0.254,0.28476559
0.2541,0.284929864
0.2542,0.285094243
0.2543,0.285258728
0.2544,0.285423318
0.2545,0.285588014
0.2546,0.285752815
0.2547,0.285917723
0.2548,0.286082736
0.2549,0.286247856
0.255,0.286413082
0.2551,0.286578415
0.2552,0.286743854
0.2553,0.2869094
0.2554,0.287075054
0.2555,0.287240814
0.2556,0.287406681
0.2557,0.287572656
0.2558,0.287738738
0.2559,0.287904929
0.256,0.288071226
0.2561,0.288237632
0.2562,0.288404146
0.2563,0.288570769
0.2564,0.288737499
0.2565,0.288904339
0.2566,0.289071287
0.2567,0.289238343
0.2568,0.289405509
0.2569,0.289572784
0.257,0.289740169
0.2571,0.289907662
0.2572,0.290075266
0.2573,0.290242979
0.2574,0.290410802
0.2575,0.290578735
0.2576,0.290746778
0.2577,0.290914932
0.2578,0.291083196
0.2579,0.291251571
0.258,0.291420057
0.2581,0.291588653
0.2582,0.291757361
0.2583,0.29192618
0.2584,0.29209511
0.2585,0.292264152
0.2586,0.292433306
0.2587,0.292602571
0.2588,0.292771949
0.2589,0.292941439
0.259,0.293111041
0.2591,0.293280755
0.2592,0.293450583
0.2593,0.293620523
0.2594,0.293790576
0.2595,0.293960742
0.2596,0.294131021
0.2597,0.294301414
0.2598,0.29447192
0.2599,0.29464254
0.26,0.294813274
0.2601,0.294984122
0.2602,0.295155084
0.2603,0.295326161
0.2604,0.295497352
0.2605,0.295668657
0.2606,0.295840078
0.2607,0.296011613
0.2608,0.296183264
0.2609,0.29635503
0.261,0.296526911
0.2611,0.296698908
0.2612,0.296871021
0.2613,0.29704325
0.2614,0.297215595
0.2615,0.297388056
0.2616,0.297560633
0.2617,0.297733327
0.2618,0.297906138
0.2619,0.298079066
0.262,0.29825211
0.2621,0.298425272
0.2622,0.298598552
0.2623,0.298771949
0.2624,0.298945463
0.2625,0.299119096
0.2626,0.299292846
0.2627,0.299466715
0.2628,0.299640702
0.2629,0.299814807
0.263,0.299989031
0.2631,0.300163374
0.2632,0.300337836
0.2633,0.300512418
0.2634,0.300687118
0.2635,0.300861938
0.2636,0.301036878
0.2637,0.301211938
0.2638,0.301387117
0.2639,0.301562417
0.264,0.301737837
0.2641,0.301913377
0.2642,0.302089039
0.2643,0.302264821
0.2644,0.302440724
0.2645,0.302616748
0.2646,0.302792893
0.2647,0.30296916
0.2648,0.303145549
0.2649,0.30332206
0.265,0.303498692
0.2651,0.303675447
0.2652,0.303852324
0.2653,0.304029323
0.2654,0.304206446
0.2655,0.304383691
0.2656,0.304561059
0.2657,0.30473855
0.2658,0.304916165
0.2659,0.305093903
0.266,0.305271765
0.2661,0.305449751
0.2662,0.305627861
0.2663,0.305806095
0.2664,0.305984453
0.2665,0.306162937
0.2666,0.306341544
0.2667,0.306520277
0.2668,0.306699135
0.2669,0.306878118
0.267,0.307057227
0.2671,0.307236461
0.2672,0.307415821
0.2673,0.307595307
0.2674,0.307774919
0.2675,0.307954657
0.2676,0.308134522
0.2677,0.308314514
0.2678,0.308494632
0.2679,0.308674878
0.268,0.30885525
0.2681,0.30903575
0.2682,0.309216378
0.2683,0.309397133
0.2684,0.309578017
0.2685,0.309759028
0.2686,0.309940168
0.2687,0.310121436
0.2688,0.310302832
0.2689,0.310484358
0.269,0.310666012
0.2691,0.310847796
0.2692,0.311029709
0.2693,0.311211752
0.2694,0.311393924
0.2695,0.311576226
0.2696,0.311758659
0.2697,0.311941221
0.2698,0.312123914
0.2699,0.312306738
0.27,0.312489692
0.2701,0.312672778
0.2702,0.312855994
0.2703,0.313039342
0.2704,0.313222822
0.2705,0.313406433
0.2706,0.313590176
0.2707,0.313774052
0.2708,0.313958059
0.2709,0.314142199
0.271,0.314326472
0.2711,0.314510878
0.2712,0.314695416
0.2713,0.314880088
0.2714,0.315064894
0.2715,0.315249832
0.2716,0.315434905
0.2717,0.315620112
0.2718,0.315805453
0.2719,0.315990928
0.272,0.316176538
0.2721,0.316362282
0.2722,0.316548161
0.2723,0.316734176
0.2724,0.316920326
0.2725,0.317106611
0.2726,0.317293032
0.2727,0.317479589
0.2728,0.317666282
0.2729,0.317853111
0.273,0.318040077
0.2731,0.318227179
0.2732,0.318414418
0.2733,0.318601795
0.2734,0.318789308
0.2735,0.318976959
0.2736,0.319164748
0.2737,0.319352674
0.2738,0.319540738
0.2739,0.319728941
0.274,0.319917282
0.2741,0.320105761
0.2742,0.32029438
0.2743,0.320483137
0.2744,0.320672034
0.2745,0.32086107
0.2746,0.321050245
0.2747,0.321239561
0.2748,0.321429016
0.2749,0.321618612
0.275,0.321808348
0.2751,0.321998224
0.2752,0.322188241
0.2753,0.3223784
0.2754,0.322568699
0.2755,0.32275914
0.2756,0.322949722
0.2757,0.323140447
0.2758,0.323331313
0.2759,0.323522321
0.276,0.323713472
0.2761,0.323904766
0.2762,0.324096202
0.2763,0.324287781
0.2764,0.324479504
0.2765,0.32467137
0.2766,0.324863379
0.2767,0.325055532
0.2768,0.32524783
0.2769,0.325440271
0.277,0.325632858
0.2771,0.325825588
0.2772,0.326018464
0.2773,0.326211485
0.2774,0.326404651
0.2775,0.326597962
0.2776,0.326791419
0.2777,0.326985022
0.2778,0.327178771
0.2779,0.327372667
0.278,0.327566709
0.2781,0.327760898
0.2782,0.327955233
0.2783,0.328149716
0.2784,0.328344347
0.2785,0.328539124
0.2786,0.32873405
0.2787,0.328929124
0.2788,0.329124346
0.2789,0.329319716
0.279,0.329515235
0.2791,0.329710903
0.2792,0.32990672
0.2793,0.330102686
0.2794,0.330298802
0.2795,0.330495067
0.2796,0.330691483
0.2797,0.330888049
0.2798,0.331084765
0.2799,0.331281631
0.28,0.331478649
0.2801,0.331675817
0.2802,0.331873137
0.2803,0.332070608
0.2804,0.332268231
0.2805,0.332466005
0.2806,0.332663932
0.2807,0.332862012
0.2808,0.333060243
0.2809,0.333258628
0.281,0.333457166
0.2811,0.333655856
0.2812,0.333854701
0.2813,0.334053699
0.2814,0.334252851
0.2815,0.334452157
0.2816,0.334651617
0.2817,0.334851232
0.2818,0.335051002
0.2819,0.335250926
0.282,0.335451006
0.2821,0.335651242
0.2822,0.335851633
0.2823,0.33605218
0.2824,0.336252883
0.2825,0.336453743
0.2826,0.336654759
0.2827,0.336855932
0.2828,0.337057262
0.2829,0.33725875
0.283,0.337460395
0.2831,0.337662198
0.2832,0.337864158
0.2833,0.338066277
0.2834,0.338268555
0.2835,0.338470991
0.2836,0.338673586
0.2837,0.33887634
0.2838,0.339079253
0.2839,0.339282326
0.284,0.339485559
0.2841,0.339688952
0.2842,0.339892505
0.2843,0.340096219
0.2844,0.340300094
0.2845,0.34050413
0.2846,0.340708326
0.2847,0.340912685
0.2848,0.341117205
0.2849,0.341321887
0.285,0.341526731
0.2851,0.341731738
0.2852,0.341936907
0.2853,0.34214224
0.2854,0.342347735
0.2855,0.342553394
0.2856,0.342759217
0.2857,0.342965203
0.2858,0.343171353
0.2859,0.343377668
0.286,0.343584148
0.2861,0.343790792
0.2862,0.343997602
0.2863,0.344204576
0.2864,0.344411717
0.2865,0.344619023
0.2866,0.344826495
0.2867,0.345034133
0.2868,0.345241938
0.2869,0.34544991
0.287,0.345658049
0.2871,0.345866356
0.2872,0.346074829
0.2873,0.346283471
0.2874,0.34649228
0.2875,0.346701258
0.2876,0.346910405
0.2877,0.34711972
0.2878,0.347329204
0.2879,0.347538858
0.288,0.347748681
0.2881,0.347958674
0.2882,0.348168837
0.2883,0.34837917
